timestamp,case_id,evidence_id,stage,level,message,duration_ms
2026-07-25T12:50:00.695Z,CASE_2CF24DBA5F,EVID_00001,upload,INFO,"acquired 'yeti.jpg' (80.5 KB), sha256=8f2e60ea6fc0eeff...",3.3
2026-07-25T12:50:00.777Z,CASE_2CF24DBA5F,EVID_00001,preprocessing,INFO,"page 1: convert_rgb, exif_orientation, border_removal+whitespace_trim",61.9
2026-07-25T12:52:43.436Z,CASE_2CF24DBA5F,EVID_00001,ocr,INFO,page 1: 29 lines via paddleocr-v5,162659.7
2026-07-25T12:52:43.471Z,CASE_2CF24DBA5F,EVID_00001,hashing,INFO,post-processing hash VERIFIED,27.4
2026-07-25T12:52:43.493Z,CASE_2CF24DBA5F,EVID_00001,pipeline,INFO,"completed: 1 page(s), avg confidence 0.92",162785.2
2026-07-25T12:53:07.183Z,CASE_2CF24DBA5F,EVID_00002,upload,INFO,"acquired 'whatsapp_chat_export.txt' (303 B), sha256=c7ab347cfbd2b80c...",5.2
2026-07-25T12:53:07.184Z,CASE_2CF24DBA5F,EVID_00002,ocr,INFO,plain-text evidence: 4 lines read directly,0.0
2026-07-25T12:53:07.185Z,CASE_2CF24DBA5F,EVID_00002,hashing,INFO,post-processing hash VERIFIED,0.3
2026-07-25T12:53:07.196Z,CASE_2CF24DBA5F,EVID_00002,pipeline,INFO,"completed: 1 page(s), avg confidence 1.00",8.8
2026-07-25T12:53:23.175Z,CASE_2CF24DBA5F,EVID_00003,upload,INFO,"acquired 'romanchat.jpg' (32.5 KB), sha256=0340d5863313f4cc...",3.2
2026-07-25T12:53:23.225Z,CASE_2CF24DBA5F,EVID_00003,preprocessing,INFO,"page 1: convert_rgb, exif_orientation, resolution_enhancement, border_removal+whitespace_trim",42.5
2026-07-25T12:53:33.339Z,CASE_2CF24DBA5F,EVID_00003,ocr,INFO,page 1: 13 lines via paddleocr-v5,10112.1
2026-07-25T12:53:33.344Z,CASE_2CF24DBA5F,EVID_00003,hashing,INFO,post-processing hash VERIFIED,3.7
2026-07-25T12:53:33.358Z,CASE_2CF24DBA5F,EVID_00003,pipeline,INFO,"completed: 1 page(s), avg confidence 0.97",10174.1
2026-07-25T12:53:47.011Z,CASE_2CF24DBA5F,EVID_00004,upload,INFO,"acquired 'phishing_email_screenshot.png' (11.5 KB), sha256=8ef0f27a84960b65...",2.6
2026-07-25T12:53:47.085Z,CASE_2CF24DBA5F,EVID_00004,preprocessing,INFO,"page 1: convert_rgb, exif_orientation, resolution_enhancement, border_removal+whitespace_trim",16.7
2026-07-25T12:53:51.639Z,CASE_2CF24DBA5F,EVID_00004,ocr,INFO,page 1: 6 lines via paddleocr-v5,4557.2
2026-07-25T12:53:51.641Z,CASE_2CF24DBA5F,EVID_00004,hashing,INFO,post-processing hash VERIFIED,0.3
2026-07-25T12:53:51.648Z,CASE_2CF24DBA5F,EVID_00004,pipeline,INFO,"completed: 1 page(s), avg confidence 0.99",4637.2
2026-07-25T13:19:15.999Z,CASE_TEST,EVID_TEST,ocr,INFO,page 1: 3 lines from PDF text layer (no OCR needed),0.0
2026-07-25T13:19:16.000Z,CASE_TEST,EVID_TEST,ocr,INFO,page 2: 3 lines from PDF text layer (no OCR needed),0.0
2026-07-25T13:19:37.478Z,C,E,preprocessing,INFO,"page 1: convert_rgb, exif_orientation",89.7
2026-07-25T13:20:10.772Z,C,E,preprocessing,INFO,"page 1: convert_rgb, exif_orientation",76.1
2026-07-25T13:20:42.070Z,C,E,preprocessing,INFO,"page 1: convert_rgb, exif_orientation",78.0
2026-07-25T16:24:17.561Z,CASE_EE8250FB76,EVID_00005,upload,INFO,"acquired '08_complaint_letter.pdf' (3.7 KB), sha256=fe644062bf75e62c...",15.1
2026-07-25T16:24:17.839Z,CASE_EE8250FB76,EVID_00005,ocr,INFO,page 1: 34 lines from PDF text layer (no OCR needed),0.0
2026-07-25T16:24:17.840Z,CASE_EE8250FB76,EVID_00005,ocr,INFO,page 2: 4 lines from PDF text layer (no OCR needed),0.0
2026-07-25T16:24:17.841Z,CASE_EE8250FB76,EVID_00005,hashing,INFO,post-processing hash VERIFIED,0.5
2026-07-25T16:24:17.854Z,CASE_EE8250FB76,EVID_00005,pipeline,INFO,"completed: 2 page(s), avg confidence 1.00",296.7
2026-07-25T16:24:18.092Z,CASE_EE8250FB76,EVID_00006,upload,INFO,"acquired '07_bank_transfer_slip.pdf' (106.4 KB), sha256=6f1cc10ae55d554c...",2.8
2026-07-25T16:24:18.468Z,CASE_EE8250FB76,EVID_00006,preprocessing,INFO,"page 1: convert_rgb, exif_orientation, perspective_correction, deskew(-0.69deg), clahe, sharpen",328.2
2026-07-25T17:16:30.234Z,CASE_185915593C,EVID_00007,upload,INFO,"acquired '01_sms_screenshot.jpg' (19.4 KB), sha256=905b21d603ca0a6f...",1.3
2026-07-25T17:16:30.286Z,CASE_185915593C,EVID_00007,preprocessing,INFO,"page 1: convert_rgb, exif_orientation, resolution_enhancement, sharpen, border_removal+whitespace_trim, adaptive_threshold",42.3
2026-07-25T17:16:46.649Z,CASE_185915593C,EVID_00007,ocr,INFO,page 1: 15 lines via paddleocr-v5,16363.9
2026-07-25T17:16:46.654Z,CASE_185915593C,EVID_00007,hashing,INFO,post-processing hash VERIFIED,3.8
2026-07-25T17:16:46.662Z,CASE_185915593C,EVID_00007,pipeline,INFO,"completed: 1 page(s), avg confidence 0.60",16423.8
2026-07-25T17:17:07.920Z,CASE_185915593C,EVID_00008,upload,INFO,"acquired '02_messenger_chat.jpg' (63.3 KB), sha256=bb246839287ca1bc...",5.0
2026-07-25T17:17:08.088Z,CASE_185915593C,EVID_00008,preprocessing,INFO,"page 1: convert_rgb, exif_orientation, sharpen, border_removal+whitespace_trim",129.6
